id,name,height,weight,genus,description,types,abilities
16,Pidgey,3.00,18.00,Tiny Bird Pokemon,"Pidgey has an extremely sharp sense of direction.
It is capable of unerringly returning home to its nest,
however far it may be removed from its familiar surroundings.","[flying, normal]","[big-pecks, tangled-feet, keen-eye]"
17,Pidgeotto,11.00,300.00,Bird Pokemon,"Pidgeotto claims a large area as its own territory. This
Pokemon flies around, patrolling its living space. If its territory
is violated, it shows no mercy in thoroughly punishing the foe
with its sharp claws.","[flying, normal]","[big-pecks, tangled-feet, keen-eye]"
18,Pidgeot,15.00,395.00,Bird Pokemon,"This Pokemon has a dazzling plumage of beautifully
glossy feathers. Many Trainers are captivated by the
striking beauty of the feathers on its head, compelling
them to choose Pidgeot as their Pokemon.","[flying, normal]","[big-pecks, tangled-feet, keen-eye]"
19,Rattata,3.00,35.00,Mouse Pokemon,"With their strong capacity for survival, they can
live in dirty places without concern. Left
unchecked, their numbers multiply rapidly.",[normal],"[hustle, guts, run-away]"
20,Raticate,7.00,185.00,Mouse Pokemon,"Its disposition is far more violent than its looks
would suggest. Don't let your hand get too close
to its face, as it could bite your hand clean off.",[normal],"[hustle, guts, run-away]"
21,Spearow,3.00,20.00,Tiny Bird Pokemon,"Farmers whose fields are troubled by bug
Pokemon appreciate Spearow for its vigorous
appetite and look after it.","[flying, normal]","[sniper, keen-eye]"
22,Fearow,12.00,380.00,Beak Pokemon,"Drawings of a Pokemon resembling Fearow can
be seen in murals from deep in ancient history.","[flying, normal]","[sniper, keen-eye]"
23,Ekans,20.00,69.00,Snake Pokemon,"Ekans curls itself up in a spiral while it rests. Assuming this
position allows it to quickly respond to a threat from any
direction with a glare from its upraised head.",[poison],"[unnerve, shed-skin, intimidate]"
24,Arbok,35.00,650.00,Cobra Pokemon,"This Pokemon is terrifically strong in order to constrict things
with its body. It can even flatten steel oil drums. Once Arbok
wraps its body around its foe, escaping its crunching embrace
is impossible.",[poison],"[unnerve, shed-skin, intimidate]"
25,Pikachu,4.00,60.00,Mouse Pokemon,"It's in its nature to store electricity. It feels
stressed now and then if it's unable to fully
discharge the electricity.",[electric],"[lightning-rod, static]"
26,Raichu,8.00,300.00,Mouse Pokemon,"It becomes aggressive when it has electricity
stored up. At such times, even its Trainer has to
take care to avoid being attacked.",[electric],"[lightning-rod, static]"
27,Sandshrew,6.00,120.00,Mouse Pokemon,"It usually makes its home in deserts and arid
zones, where rain does not fall. It digs holes to
catch Bug-type Pokemon.",[ground],"[sand-rush, sand-veil]"
28,Sandslash,10.00,295.00,Mouse Pokemon,"It uses its claws to climb trees and then curls
its body into a spiny ball, ready to drop onto
any prey that appears.",[ground],"[sand-rush, sand-veil]"
29,Nidoranâ™€,4.00,70.00,Poison Pin Pokemon,"Nidoranâ™€ has barbs that secrete a powerful poison.
They are thought to have developed as protection for
this small-bodied Pokemon. When enraged, it releases
a horrible toxin from its horn.",[poison],"[hustle, rivalry, poison-point]"
30,Nidorina,8.00,200.00,Poison Pin Pokemon,"When Nidorina are with their friends or family, they keep
their barbs tucked away to prevent hurting each other.
This Pokemon appears to become nervous if separated
from the others.",[poison],"[hustle, rivalry, poison-point]"
31,Nidoqueen,13.00,600.00,Drill Pokemon,"Nidoqueen's body is encased in extremely hard scales.
It is adept at sending foes flying with harsh tackles. This
Pokemon is at its strongest when it is defending its young.","[ground, poison]","[sheer-force, rivalry, poison-point]"
32,Nidoranâ™‚,5.00,90.00,Poison Pin Pokemon,"Nidoranâ™‚ has developed muscles for moving its ears. Thanks
to them, the ears can be freely moved in any direction. Even
the slightest sound does not escape this Pokemon's notice.",[poison],"[hustle, rivalry, poison-point]"
33,Nidorino,9.00,195.00,Poison Pin Pokemon,"Nidorino has a horn that is harder than a diamond. If it senses
a hostile presence, all the barbs on its back bristle up at once,
and it challenges the foe with all its might.",[poison],"[hustle, rivalry, poison-point]"
34,Nidoking,14.00,620.00,Drill Pokemon,"Nidoking's thick tail packs enormously destructive power.
With one swing, it can topple a metal transmission tower. Once
this Pokemon goes on a rampage, there is no stopping it.","[ground, poison]","[sheer-force, rivalry, poison-point]"
35,Clefairy,6.00,75.00,Fairy Pokemon,"On nights with a full moon, they gather together
and dance. The surrounding area is enveloped
in an abnormal magnetic field.",[fairy],"[friend-guard, magic-guard, cute-charm]"
36,Clefable,13.00,400.00,Fairy Pokemon,"According to tradition, people who see a pair
of Clefable skipping by can look forward to a
happy marriage.",[fairy],"[unaware, magic-guard, cute-charm]"
37,Vulpix,6.00,99.00,Fox Pokemon,"From its mouth spew flames that seem to
resemble the spirits of the deceased. Some
people mistakenly think this fire is a ghost.",[fire],"[drought, flash-fire]"
38,Ninetales,11.00,199.00,Fox Pokemon,"Said to live for a thousand years, this Pokemon
uses its supernatural abilities to manipulate fire.
It can burn its prey to a crisp as it pleases.",[fire],"[drought, flash-fire]"
39,Jigglypuff,5.00,55.00,Balloon Pokemon,"Jigglypuff possess a vocal range that exceeds
12 octaves, but each individual's singing skill
depends on its own effort.","[fairy, normal]","[friend-guard, competitive, cute-charm]"
40,Wigglytuff,10.00,120.00,Balloon Pokemon,"As it inhales, it expands...and expands...and
expands. Wigglytuff compete to see which one
can inflate itself the most.","[fairy, normal]","[frisk, competitive, cute-charm]"
41,Zubat,8.00,75.00,Bat Pokemon,"When exposed to sunlight, they suffer burns.
The frequency of their ultrasonic waves can
differ slightly from colony to colony.","[flying, poison]","[infiltrator, inner-focus]"
42,Golbat,16.00,550.00,Bat Pokemon,"Sometimes they drink so much blood, they can't
fly anymore. Then they fall to the ground and
become food for other Pokemon.","[flying, poison]","[infiltrator, inner-focus]"
43,Oddish,5.00,54.00,Weed Pokemon,"Oddish searches for fertile, nutrient-rich soil, then plants itself.
During the daytime, while it is planted, this Pokemon's feet
are thought to change shape and become similar to the roots
of trees.","[poison, grass]","[run-away, chlorophyll]"
44,Gloom,8.00,86.00,Weed Pokemon,"From its mouth Gloom drips honey that smells absolutely
horrible. Apparently, it loves the horrid stench. It sniffs the
noxious fumes and then drools even more of its honey.","[poison, grass]","[stench, chlorophyll]"
45,Vileplume,12.00,186.00,Flower Pokemon,"Vileplume has the world's largest petals. They are used to
attract prey that are then doused with toxic spores. Once the
prey are immobilized, this Pokemon catches and devours them.","[poison, grass]","[effect-spore, chlorophyll]"
46,Paras,3.00,54.00,Mushroom Pokemon,"Mushrooms called tochukaso sprout from its
back. They can be dried and powdered to make
a medicine used to extend life.","[grass, bug]","[damp, dry-skin, effect-spore]"
47,Parasect,10.00,295.00,Mushroom Pokemon,"It scatters toxic spores from its mushroom cap.
Once harvested, these spores can be steeped
and boiled down to prepare herbal medicines.","[grass, bug]","[damp, dry-skin, effect-spore]"
48,Venonat,10.00,300.00,Insect Pokemon,"Venonat is said to have evolved with a coat of thin, stiff hair
that covers its entire body for protection. It possesses large
eyes that never fail to spot even minuscule prey.","[poison, bug]","[run-away, tinted-lens, compound-eyes]"
49,Venomoth,15.00,125.00,Poison Moth Pokemon,"Venomoth is nocturnalâ€it is a Pokemon that only becomes
active at night. Its favorite prey are small insects that gather
around streetlights, attracted by the light in the darkness.","[poison, bug]","[wonder-skin, tinted-lens, shield-dust]"
50,Diglett,2.00,8.00,Mole Pokemon,"Many farmers cherish and nurture Diglett
because its droppings enrich the soil it lives in.",[ground],"[sand-force, arena-trap, sand-veil]"
51,Dugtrio,7.00,333.00,Mole Pokemon,"Despite the closeness between this Pokemon
and farmers and other people, no one has ever
seen the parts of it concealed underground.",[ground],"[sand-force, arena-trap, sand-veil]"
52,Meowth,4.00,42.00,Scratch Cat Pokemon,"It loves shiny things. It often fights with
Murkrow over prey they're both trying to catch.",[normal],"[unnerve, technician, pickup]"
53,Persian,10.00,320.00,Classy Cat Pokemon,"It has a high opinion of itself, although not to
the same extent as the Alolan Persian. It's quite
difficult to make friends with this Pokemon.",[normal],"[unnerve, technician, limber]"
54,Psyduck,8.00,196.00,Duck Pokemon,"This Pokemon is troubled by constant
headaches. The more pain it's in, the more
powerful its psychokinesis becomes.",[water],"[swift-swim, cloud-nine, damp]"
55,Golduck,17.00,766.00,Duck Pokemon,"It swims along the banks of lakes and catches
fish Pokemon. It takes them to the shore and
quietly eats them up.",[water],"[swift-swim, cloud-nine, damp]"
56,Mankey,5.00,280.00,Pig Monkey Pokemon,"Its raging tires it out and causes it to fall asleep,
but the anger resonating in its dreams causes it
to wake upâ€which infuriates it all over again.",[fighting],"[defiant, anger-point, vital-spirit]"
57,Primeape,10.00,320.00,Pig Monkey Pokemon,"Some researchers theorize that Primeape
remains angry even when inside a PokÃ© Ball.",[fighting],"[defiant, anger-point, vital-spirit]"
58,Growlithe,7.00,190.00,Puppy Pokemon,"It looks cute, but when you approach another
Trainer's Growlithe, it will bark at you and bite.",[fire],"[justified, flash-fire, intimidate]"
59,Arcanine,19.00,1550.00,Legendary Pokemon,"The fire burning inside its body serves as the
energy to fuel it as it runs great distances.
It appears in many legends.",[fire],"[justified, flash-fire, intimidate]"
60,Poliwag,6.00,124.00,Tadpole Pokemon,"It's still not very good at walking. Its Trainers
should train this Pokemon to walk every day.",[water],"[swift-swim, damp, water-absorb]"
61,Poliwhirl,10.00,200.00,Tadpole Pokemon,"It marches over the land in search of bug
Pokemon to eat. Then it takes them underwater
so it can dine on them where it's safe.",[water],"[swift-swim, damp, water-absorb]"
62,Poliwrath,13.00,540.00,Tadpole Pokemon,"Its percentage of body fat is nearly zero. Its
body is entirely muscle, which makes it heavy
and forces its swimming prowess to develop.","[fighting, water]","[swift-swim, damp, water-absorb]"
63,Abra,9.00,195.00,Psi Pokemon,"It can teleport itself to safety while it's asleep,
but when it wakes, it doesn't know where it is,
so it panics.",[psychic],"[magic-guard, inner-focus, synchronize]"
64,Kadabra,13.00,565.00,Psi Pokemon,"Kadabra's presence infests televisions and
monitors with creepy shadows that bring
bad luck.",[psychic],"[magic-guard, inner-focus, synchronize]"
65,Alakazam,15.00,480.00,Psi Pokemon,"Its brain cells continue to increase in number
until its death. The older the Alakazam, the
larger its head.",[psychic],"[magic-guard, inner-focus, synchronize]"
66,Machop,8.00,195.00,Superpower Pokemon,"With its superhuman strength, it's able to throw
a hundred people all at the same time. Its
strength comes from lifting Graveler every day.",[fighting],"[steadfast, no-guard, guts]"
67,Machoke,15.00,705.00,Superpower Pokemon,"It willingly assists with hard labor because it
knows the work is good training for its muscles.",[fighting],"[steadfast, no-guard, guts]"
68,Machamp,16.00,1300.00,Superpower Pokemon,"It can lift heavy loads with the greatest of ease.
It can even heft dump trucks. But its clumsy
fingers prevent it from doing any precision work.",[fighting],"[steadfast, no-guard, guts]"
69,Bellsprout,7.00,40.00,Flower Pokemon,"Bellsprout's thin and flexible body lets it bend and sway
to avoid any attack, however strong it may be. From its mouth,
this Pokemon spits a corrosive fluid that melts even iron.","[poison, grass]","[gluttony, chlorophyll]"
70,Weepinbell,10.00,64.00,Flycatcher Pokemon,"Weepinbell has a large hook on its rear end. At night, the
Pokemon hooks on to a tree branch and goes to sleep.
If it moves around in its sleep, it may wake up to find itself
on the ground.","[poison, grass]","[gluttony, chlorophyll]"
71,Victreebel,17.00,155.00,Flycatcher Pokemon,"Victreebel has a long vine that extends from its head.
This vine is waved and flicked about as if it were an animal
to attract prey. When an unsuspecting prey draws near,
this Pokemon swallows it whole.","[poison, grass]","[gluttony, chlorophyll]"
72,Tentacool,9.00,455.00,Jellyfish Pokemon,"It drifts in shallow seas, such as the areas near
beaches. If you get bitten or stabbed by its
toxic tentacles, rush to the hospital.","[poison, water]","[rain-dish, liquid-ooze, clear-body]"
73,Tentacruel,16.00,550.00,Jellyfish Pokemon,"Although these Pokemon are rare, when a large
outbreak of them occurs, all fish Pokemon
disappear from the surrounding sea.","[poison, water]","[rain-dish, liquid-ooze, clear-body]"
74,Geodude,4.00,200.00,Rock Pokemon,"There are plenty of them to be found along any
road. A scholar with too much free time once
counted a hundred of them along a single route.","[ground, rock]","[sand-veil, sturdy, rock-head]"
75,Graveler,10.00,1050.00,Rock Pokemon,"This slow-footed Pokemon moves by curling up
and rolling instead of walking. With enough
momentum, its speed can exceed 60 mph.","[ground, rock]","[sand-veil, sturdy, rock-head]"
76,Golem,14.00,3000.00,Megaton Pokemon,"Once a year, this Pokemon molts, and its shed
shell returns to the soil. This process creates
enriched soil, so farmers collect the shells.","[ground, rock]","[sand-veil, sturdy, rock-head]"
77,Ponyta,10.00,300.00,Fire Horse Pokemon,"Ponyta is very weak at birth. It can barely stand up.
This Pokemon becomes stronger by stumbling and
falling to keep up with its parent.",[fire],"[flame-body, flash-fire, run-away]"
78,Rapidash,17.00,950.00,Fire Horse Pokemon,"Rapidash usually can be seen casually cantering in the fields
and plains. However, when this Pokemon turns serious, its
fiery manes flare and blaze as it gallops its way up to 150 mph.",[fire],"[flame-body, flash-fire, run-away]"
79,Slowpoke,12.00,360.00,Dopey Pokemon,"Alolan home cooking involves drying Slowpoke
tails and then simmering them into a salty stew.","[psychic, water]","[regenerator, own-tempo, oblivious]"
80,Slowbro,16.00,785.00,Hermit Crab Pokemon,"Whenever Shellder bites down hard on its tail,
it gives Slowbro a flash of inspiration...which it
forgets a moment later.","[psychic, water]","[regenerator, own-tempo, oblivious]"
81,Magnemite,3.00,60.00,Magnet Pokemon,"It sends out electromagnetic waves, which let it
float through the air. Touching it while it's eating
electricity will give you a full-body shock.","[steel, electric]","[analytic, sturdy, magnet-pull]"
82,Magneton,10.00,600.00,Magnet Pokemon,"It has about three times the electrical power of
Magnemite. For some reason, outbreaks of this
Pokemon happen when lots of sunspots appear.","[steel, electric]","[analytic, sturdy, magnet-pull]"
83,Farfetch'd,8.00,150.00,Wild Duck Pokemon,"Farfetch'd is always seen with a stalk from a plant of some
sort. Apparently, there are good stalks and bad stalks. This
Pokemon has been known to fight with others over stalks.","[flying, normal]","[defiant, inner-focus, keen-eye]"
84,Doduo,14.00,392.00,Twin Bird Pokemon,"Doduo's two heads contain completely identical brains. A
scientific study reported that on rare occasions, there will be
examples of this Pokemon possessing different sets of brains.","[flying, normal]","[tangled-feet, early-bird, run-away]"
85,Dodrio,18.00,852.00,Triple Bird Pokemon,"Apparently, the heads aren't the only parts of the body that
Dodrio has three of. It has three sets of hearts and lungs as
well, so it is capable of running long distances without rest.","[flying, normal]","[tangled-feet, early-bird, run-away]"
86,Seel,11.00,900.00,Sea Lion Pokemon,"Seel hunts for prey in the frigid sea underneath sheets of ice.
When it needs to breathe, it punches a hole through the ice
with the sharply protruding section of its head.",[water],"[ice-body, hydration, thick-fat]"
87,Dewgong,17.00,1200.00,Sea Lion Pokemon,"Dewgong loves to snooze on bitterly cold ice. The sight of
this Pokemon sleeping on a glacier was mistakenly thought
to be a mermaid by a mariner long ago.","[ice, water]","[ice-body, hydration, thick-fat]"
88,Grimer,9.00,300.00,Sludge Pokemon,"It was born from sludge transformed by
exposure to X-rays from the moon. When its
internal load of germs decreases, it dies.",[poison],"[poison-touch, sticky-hold, stench]"
89,Muk,12.00,300.00,Sludge Pokemon,"After recent environmental improvements, this
Pokemon is now hardly seen at all. People
speculate that it may go extinct at some point.",[poison],"[poison-touch, sticky-hold, stench]"
90,Shellder,3.00,40.00,Bivalve Pokemon,"This Pokemon's tongue is always hanging out.
It uses its tongue with great dexterity to dig up
sand from the seabed in its search for food.",[water],"[overcoat, skill-link, shell-armor]"
91,Cloyster,15.00,1325.00,Bivalve Pokemon,"Excavation of the tombs of ancient hunting
tribes has turned up many spears tipped with
spikes that had fallen off this Pokemon's shell.","[ice, water]","[overcoat, skill-link, shell-armor]"
92,Gastly,13.00,1.00,Gas Pokemon,"Although Gastly is barely visible, when it's near,
a faint sweet smell lingers.","[poison, ghost]",[levitate]
93,Haunter,16.00,1.00,Gas Pokemon,"It fears the light and revels in the dark. It may
be on the verge of extinction in cities that stay
brightly lit at night.","[poison, ghost]",[levitate]
94,Gengar,15.00,405.00,Shadow Pokemon,"It apparently wishes for a traveling companion.
Since it was once human itself, it tries to create
one by taking the lives of other humans.","[poison, ghost]",[cursed-body]
95,Onix,88.00,2100.00,Rock Snake Pokemon,"Onix has a magnet in its brain. It acts as a compass so that
this Pokemon does not lose direction while it is tunneling.
As it grows older, its body becomes increasingly rounder
and smoother.","[ground, rock]","[weak-armor, sturdy, rock-head]"
96,Drowzee,10.00,324.00,Hypnosis Pokemon,"It finds really fun dreams tasty. When it makes
friends with people, it may show them the most
delicious dreams it's ever eaten.",[psychic],"[inner-focus, forewarn, insomnia]"
97,Hypno,16.00,756.00,Hypnosis Pokemon,"As a matter of course, it makes anyone it meets
fall asleep and has a taste of their dreams.
Anyone having a good dream, it carries off.",[psychic],"[inner-focus, forewarn, insomnia]"
98,Krabby,4.00,65.00,River Crab Pokemon,"Krabby live on beaches, burrowed inside holes dug into
the sand. On sandy beaches with little in the way of food,
these Pokemon can be seen squabbling with each other
over territory.",[water],"[sheer-force, shell-armor, hyper-cutter]"
99,Kingler,13.00,600.00,Pincer Pokemon,"Kingler has an enormous, oversized claw. It waves this huge
claw in the air to communicate with others. However, because
the claw is so heavy, the Pokemon quickly tires.",[water],"[sheer-force, shell-armor, hyper-cutter]"
100,Voltorb,5.00,104.00,Ball Pokemon,"Voltorb is extremely sensitiveâ€it explodes at the slightest
of shocks. It is rumored that it was first created when a
PokÃ© Ball was exposed to a powerful pulse of energy.",[electric],"[aftermath, static, soundproof]"
101,Electrode,12.00,666.00,Ball Pokemon,"One of Electrode's characteristics is its attraction to electricity.
It is a problematical Pokemon that congregates mostly at
electrical power plants to feed on electricity that has just
been generated.",[electric],"[aftermath, static, soundproof]"
102,Exeggcute,4.00,25.00,Egg Pokemon,"Six of them together form a full-fledged
Pokemon. It's often hunted by Crabrawler,
but uses psychokinesis to drive it off.","[psychic, grass]","[harvest, chlorophyll]"
103,Exeggutor,20.00,1200.00,Coconut Pokemon,"When the time comes, one of its three heads
falls off. Before long, the fallen head grows into
an Exeggcute.","[psychic, grass]","[harvest, chlorophyll]"
104,Cubone,4.00,65.00,Lonely Pokemon,"The skull it wears on its head is that of its dead
mother. According to some, it will evolve when
it comes to terms with the pain of her death.",[ground],"[battle-armor, lightning-rod, rock-head]"
105,Marowak,10.00,450.00,Bone Keeper Pokemon,"This Pokemon is out for vengeance on its natural
enemy, Mandibuzz. It throws bones like
boomerangs to try to take it down.",[ground],"[battle-armor, lightning-rod, rock-head]"
106,Hitmonlee,15.00,498.00,Kicking Pokemon,"Hitmonlee's legs freely contract and stretch. Using these
springlike legs, it bowls over foes with devastating kicks.
After battle, it rubs down its legs and loosens the muscles
to overcome fatigue.",[fighting],"[unburden, reckless, limber]"
107,Hitmonchan,14.00,502.00,Punching Pokemon,"Hitmonchan is said to possess the spirit of a boxer who had
been working toward a world championship. This Pokemon
has an indomitable spirit and will never give up in the face
of adversity.",[fighting],"[inner-focus, iron-fist, keen-eye]"
108,Lickitung,12.00,655.00,Licking Pokemon,"Whenever Lickitung comes across something new, it will
unfailingly give it a lick. It does so because it memorizes things
by texture and by taste. It is somewhat put off by sour things.",[normal],"[cloud-nine, oblivious, own-tempo]"
109,Koffing,6.00,10.00,Poison Gas Pokemon,"Koffing embodies toxic substances. It mixes the toxins with raw
garbage to set off a chemical reaction that results in a terribly
powerful poison gas. The higher the temperature, the more gas
is concocted by this Pokemon.",[poison],[levitate]
110,Weezing,12.00,95.00,Poison Gas Pokemon,"Weezing alternately shrinks and inflates its twin bodies to mix
together toxic gases inside. The more the gases are mixed,
the more powerful the toxins become. The Pokemon also
becomes more putrid.",[poison],[levitate]
111,Rhyhorn,10.00,1150.00,Spikes Pokemon,"Rhyhorn's brain is very small. It is so dense, while on a run
it forgets why it started running in the first place. It apparently
remembers sometimes if it demolishes something.","[rock, ground]","[reckless, rock-head, lightning-rod]"
112,Rhydon,19.00,1200.00,Drill Pokemon,"Rhydon has a horn that serves as a drill. It is used for
destroying rocks and boulders. This Pokemon occasionally
rams into streams of magma, but the armor-like hide prevents
it from feeling the heat.","[rock, ground]","[reckless, rock-head, lightning-rod]"
113,Chansey,11.00,346.00,Egg Pokemon,"Not only are these Pokemon fast runners,
they're also few in number, so anyone who finds
one must be lucky indeed.",[normal],"[healer, serene-grace, natural-cure]"
114,Tangela,10.00,350.00,Vine Pokemon,"Tangela's vines snap off easily if they are grabbed. This
happens without pain, allowing it to make a quick getaway.
The lost vines are replaced by newly grown vines the very
next day.",[grass],"[regenerator, leaf-guard, chlorophyll]"
115,Kangaskhan,22.00,800.00,Parent Pokemon,"The child in its pouch leaves home after roughly
three years. That is the only time the mother is
heard to cry wildly.",[normal],"[inner-focus, scrappy, early-bird]"
116,Horsea,4.00,80.00,Dragon Pokemon,"If Horsea senses danger, it will reflexively spray a dense
black ink from its mouth and try to escape. This Pokemon
swims by cleverly flapping the fin on its back.",[water],"[damp, sniper, swift-swim]"
117,Seadra,12.00,250.00,Dragon Pokemon,"Seadra generates whirlpools by spinning its body.
The whirlpools are strong enough to swallow even
fishing boats. This Pokemon weakens prey with
these currents, then swallows it whole.",[water],"[damp, sniper, poison-point]"
118,Goldeen,6.00,150.00,Goldfish Pokemon,"Spellbound by the length of its horn and the
beauty of its fins, many strange Trainers raise
Goldeen and nothing but Goldeen.",[water],"[lightning-rod, water-veil, swift-swim]"
119,Seaking,13.00,390.00,Goldfish Pokemon,"Trainers who are crazy for Seaking are divided
into horn enthusiasts and fin enthusiasts.
The two groups do not get along well.",[water],"[lightning-rod, water-veil, swift-swim]"
120,Staryu,8.00,345.00,Star Shape Pokemon,"This Pokemon gets nibbled on by Lumineon and
others. Thanks to its red core, it regenerates
fast, so it's unconcerned by their snack attacks.",[water],"[analytic, natural-cure, illuminate]"
121,Starmie,11.00,800.00,Mysterious Pokemon,"Its unusual body shape, reminiscent of abstract
art, led local people to spread rumors that this
Pokemon may be an invader from outer space.","[psychic, water]","[analytic, natural-cure, illuminate]"
122,Mr. Mime,13.00,545.00,Barrier Pokemon,"Mr. Mime is a master of pantomime. Its gestures and motions
convince watchers that something unseeable actually exists.
Once the watchers are convinced, the unseeable thing exists
as if it were real.","[fairy, psychic]","[technician, filter, soundproof]"
123,Scyther,15.00,560.00,Mantis Pokemon,"While young, they live together deep in the
mountains, training themselves in how to fight
with their scythes and move at high speeds.","[flying, bug]","[steadfast, technician, swarm]"
124,Jynx,14.00,406.00,Human Shape Pokemon,"Jynx walks rhythmically, swaying and shaking its hips
as if it were dancing. Its motions are so bouncingly alluring,
people seeing it are compelled to shake their hips without
giving any thought to what they are doing.","[psychic, ice]","[dry-skin, forewarn, oblivious]"
125,Electabuzz,11.00,300.00,Electric Pokemon,"Electricity leaks from it in amounts far greater
than the amount of electricity it eats.",[electric],"[vital-spirit, static]"
126,Magmar,13.00,445.00,Spitfire Pokemon,"When angered, it spouts brilliant fire from all
over its body. It doesn't calm down until its
opponent has burned to ash.",[fire],"[vital-spirit, flame-body]"
127,Pinsir,15.00,550.00,Stag Beetle Pokemon,"One solid blow from its horns is enough to split
apart a large tree. Its greatest rival in Alola
is Vikavolt.",[bug],"[moxie, mold-breaker, hyper-cutter]"
128,Tauros,14.00,884.00,Wild Bull Pokemon,"Although it's known to be a fierce Pokemon,
Tauros in the Alola region are said to possess
a measure of calmness.",[normal],"[sheer-force, anger-point, intimidate]"
129,Magikarp,9.00,100.00,Fish Pokemon,"Its reckless leaps make it easy pickings for
predators. On the bright side, many Pokemon
enjoy longer life spans, thanks to Magikarp.",[water],"[rattled, swift-swim]"
130,Gyarados,65.00,2350.00,Atrocious Pokemon,"There are people who swear that any place
Gyarados appears is fated for destruction.","[flying, water]","[moxie, intimidate]"
131,Lapras,25.00,2200.00,Transport Pokemon,"These Pokemon were once near extinction due
to poaching. Following protective regulations,
there is now an overabundance of them.","[ice, water]","[hydration, shell-armor, water-absorb]"
132,Ditto,3.00,40.00,Transform Pokemon,"With its astonishing capacity for
metamorphosis, it can get along with anything.
It does not get along well with its fellow Ditto.",[normal],"[imposter, limber]"
133,Eevee,3.00,65.00,Evolution Pokemon,"Current studies show it can evolve into an
incredible eight different species of Pokemon.",[normal],"[anticipation, adaptability, run-away]"
134,Vaporeon,10.00,290.00,Bubble Jet Pokemon,"Blending in with the water and erasing all signs
of its presence, it patiently waits for its prey,
fish Pokemon.",[water],"[hydration, water-absorb]"
135,Jolteon,8.00,245.00,Lightning Pokemon,"When its fur stands on end, that's a sign it's
about to give off a jolt of electricity. Take care,
as sometimes lightning strikes next to it, too.",[electric],"[quick-feet, volt-absorb]"
