id,name,types,height,weight,abilities,egg_groups,genus,description
17,Pidgeotto,"[flying, normal]",11.00,300.00,"[big-pecks, tangled-feet, keen-eye]",[flying],Bird Pokemon,"Pidgeotto claims a large area as its own territory. This
Pokemon flies around, patrolling its living space. If its territory
is violated, it shows no mercy in thoroughly punishing the foe
with its sharp claws."
18,Pidgeot,"[flying, normal]",15.00,395.00,"[big-pecks, tangled-feet, keen-eye]",[flying],Bird Pokemon,"This Pokemon has a dazzling plumage of beautifully
glossy feathers. Many Trainers are captivated by the
striking beauty of the feathers on its head, compelling
them to choose Pidgeot as their Pokemon."
19,Rattata,[normal],3.00,35.00,"[hustle, guts, run-away]",[ground],Mouse Pokemon,"With their strong capacity for survival, they can
live in dirty places without concern. Left
unchecked, their numbers multiply rapidly."
20,Raticate,[normal],7.00,185.00,"[hustle, guts, run-away]",[ground],Mouse Pokemon,"Its disposition is far more violent than its looks
would suggest. Don't let your hand get too close
to its face, as it could bite your hand clean off."
21,Spearow,"[flying, normal]",3.00,20.00,"[sniper, keen-eye]",[flying],Tiny Bird Pokemon,"Farmers whose fields are troubled by bug
Pokemon appreciate Spearow for its vigorous
appetite and look after it."
22,Fearow,"[flying, normal]",12.00,380.00,"[sniper, keen-eye]",[flying],Beak Pokemon,"Drawings of a Pokemon resembling Fearow can
be seen in murals from deep in ancient history."
23,Ekans,[poison],20.00,69.00,"[unnerve, shed-skin, intimidate]","[dragon, ground]",Snake Pokemon,"Ekans curls itself up in a spiral while it rests. Assuming this
position allows it to quickly respond to a threat from any
direction with a glare from its upraised head."
24,Arbok,[poison],35.00,650.00,"[unnerve, shed-skin, intimidate]","[dragon, ground]",Cobra Pokemon,"This Pokemon is terrifically strong in order to constrict things
with its body. It can even flatten steel oil drums. Once Arbok
wraps its body around its foe, escaping its crunching embrace
is impossible."
25,Pikachu,[electric],4.00,60.00,"[lightning-rod, static]","[fairy, ground]",Mouse Pokemon,"It's in its nature to store electricity. It feels
stressed now and then if it's unable to fully
discharge the electricity."
26,Raichu,[electric],8.00,300.00,"[lightning-rod, static]","[fairy, ground]",Mouse Pokemon,"It becomes aggressive when it has electricity
stored up. At such times, even its Trainer has to
take care to avoid being attacked."
27,Sandshrew,[ground],6.00,120.00,"[sand-rush, sand-veil]",[ground],Mouse Pokemon,"It usually makes its home in deserts and arid
zones, where rain does not fall. It digs holes to
catch Bug-type Pokemon."
28,Sandslash,[ground],10.00,295.00,"[sand-rush, sand-veil]",[ground],Mouse Pokemon,"It uses its claws to climb trees and then curls
its body into a spiny ball, ready to drop onto
any prey that appears."
29,Nidoranâ™€,[poison],4.00,70.00,"[hustle, rivalry, poison-point]","[ground, monster]",Poison Pin Pokemon,"Nidoranâ™€ has barbs that secrete a powerful poison.
They are thought to have developed as protection for
this small-bodied Pokemon. When enraged, it releases
a horrible toxin from its horn."
30,Nidorina,[poison],8.00,200.00,"[hustle, rivalry, poison-point]",[no-eggs],Poison Pin Pokemon,"When Nidorina are with their friends or family, they keep
their barbs tucked away to prevent hurting each other.
This Pokemon appears to become nervous if separated
from the others."
31,Nidoqueen,"[ground, poison]",13.00,600.00,"[sheer-force, rivalry, poison-point]",[no-eggs],Drill Pokemon,"Nidoqueen's body is encased in extremely hard scales.
It is adept at sending foes flying with harsh tackles. This
Pokemon is at its strongest when it is defending its young."
32,Nidoranâ™‚,[poison],5.00,90.00,"[hustle, rivalry, poison-point]","[ground, monster]",Poison Pin Pokemon,"Nidoranâ™‚ has developed muscles for moving its ears. Thanks
to them, the ears can be freely moved in any direction. Even
the slightest sound does not escape this Pokemon's notice."
33,Nidorino,[poison],9.00,195.00,"[hustle, rivalry, poison-point]","[ground, monster]",Poison Pin Pokemon,"Nidorino has a horn that is harder than a diamond. If it senses
a hostile presence, all the barbs on its back bristle up at once,
and it challenges the foe with all its might."
34,Nidoking,"[ground, poison]",14.00,620.00,"[sheer-force, rivalry, poison-point]","[ground, monster]",Drill Pokemon,"Nidoking's thick tail packs enormously destructive power.
With one swing, it can topple a metal transmission tower. Once
this Pokemon goes on a rampage, there is no stopping it."
35,Clefairy,[fairy],6.00,75.00,"[friend-guard, magic-guard, cute-charm]",[fairy],Fairy Pokemon,"On nights with a full moon, they gather together
and dance. The surrounding area is enveloped
in an abnormal magnetic field."
36,Clefable,[fairy],13.00,400.00,"[unaware, magic-guard, cute-charm]",[fairy],Fairy Pokemon,"According to tradition, people who see a pair
of Clefable skipping by can look forward to a
happy marriage."
37,Vulpix,[fire],6.00,99.00,"[drought, flash-fire]",[ground],Fox Pokemon,"From its mouth spew flames that seem to
resemble the spirits of the deceased. Some
people mistakenly think this fire is a ghost."
38,Ninetales,[fire],11.00,199.00,"[drought, flash-fire]",[ground],Fox Pokemon,"Said to live for a thousand years, this Pokemon
uses its supernatural abilities to manipulate fire.
It can burn its prey to a crisp as it pleases."
39,Jigglypuff,"[fairy, normal]",5.00,55.00,"[friend-guard, competitive, cute-charm]",[fairy],Balloon Pokemon,"Jigglypuff possess a vocal range that exceeds
12 octaves, but each individual's singing skill
depends on its own effort."
40,Wigglytuff,"[fairy, normal]",10.00,120.00,"[frisk, competitive, cute-charm]",[fairy],Balloon Pokemon,"As it inhales, it expands...and expands...and
expands. Wigglytuff compete to see which one
can inflate itself the most."
41,Zubat,"[flying, poison]",8.00,75.00,"[infiltrator, inner-focus]",[flying],Bat Pokemon,"When exposed to sunlight, they suffer burns.
The frequency of their ultrasonic waves can
differ slightly from colony to colony."
42,Golbat,"[flying, poison]",16.00,550.00,"[infiltrator, inner-focus]",[flying],Bat Pokemon,"Sometimes they drink so much blood, they can't
fly anymore. Then they fall to the ground and
become food for other Pokemon."
43,Oddish,"[poison, grass]",5.00,54.00,"[run-away, chlorophyll]",[plant],Weed Pokemon,"Oddish searches for fertile, nutrient-rich soil, then plants itself.
During the daytime, while it is planted, this Pokemon's feet
are thought to change shape and become similar to the roots
of trees."
44,Gloom,"[poison, grass]",8.00,86.00,"[stench, chlorophyll]",[plant],Weed Pokemon,"From its mouth Gloom drips honey that smells absolutely
horrible. Apparently, it loves the horrid stench. It sniffs the
noxious fumes and then drools even more of its honey."
45,Vileplume,"[poison, grass]",12.00,186.00,"[effect-spore, chlorophyll]",[plant],Flower Pokemon,"Vileplume has the world's largest petals. They are used to
attract prey that are then doused with toxic spores. Once the
prey are immobilized, this Pokemon catches and devours them."
46,Paras,"[grass, bug]",3.00,54.00,"[damp, dry-skin, effect-spore]","[plant, bug]",Mushroom Pokemon,"Mushrooms called tochukaso sprout from its
back. They can be dried and powdered to make
a medicine used to extend life."
47,Parasect,"[grass, bug]",10.00,295.00,"[damp, dry-skin, effect-spore]","[plant, bug]",Mushroom Pokemon,"It scatters toxic spores from its mushroom cap.
Once harvested, these spores can be steeped
and boiled down to prepare herbal medicines."
48,Venonat,"[poison, bug]",10.00,300.00,"[run-away, tinted-lens, compound-eyes]",[bug],Insect Pokemon,"Venonat is said to have evolved with a coat of thin, stiff hair
that covers its entire body for protection. It possesses large
eyes that never fail to spot even minuscule prey."
49,Venomoth,"[poison, bug]",15.00,125.00,"[wonder-skin, tinted-lens, shield-dust]",[bug],Poison Moth Pokemon,"Venomoth is nocturnalâ€it is a Pokemon that only becomes
active at night. Its favorite prey are small insects that gather
around streetlights, attracted by the light in the darkness."
50,Diglett,[ground],2.00,8.00,"[sand-force, arena-trap, sand-veil]",[ground],Mole Pokemon,"Many farmers cherish and nurture Diglett
because its droppings enrich the soil it lives in."
51,Dugtrio,[ground],7.00,333.00,"[sand-force, arena-trap, sand-veil]",[ground],Mole Pokemon,"Despite the closeness between this Pokemon
and farmers and other people, no one has ever
seen the parts of it concealed underground."
52,Meowth,[normal],4.00,42.00,"[unnerve, technician, pickup]",[ground],Scratch Cat Pokemon,"It loves shiny things. It often fights with
Murkrow over prey they're both trying to catch."
53,Persian,[normal],10.00,320.00,"[unnerve, technician, limber]",[ground],Classy Cat Pokemon,"It has a high opinion of itself, although not to
the same extent as the Alolan Persian. It's quite
difficult to make friends with this Pokemon."
54,Psyduck,[water],8.00,196.00,"[swift-swim, cloud-nine, damp]","[ground, water1]",Duck Pokemon,"This Pokemon is troubled by constant
headaches. The more pain it's in, the more
powerful its psychokinesis becomes."
55,Golduck,[water],17.00,766.00,"[swift-swim, cloud-nine, damp]","[ground, water1]",Duck Pokemon,"It swims along the banks of lakes and catches
fish Pokemon. It takes them to the shore and
quietly eats them up."
56,Mankey,[fighting],5.00,280.00,"[defiant, anger-point, vital-spirit]",[ground],Pig Monkey Pokemon,"Its raging tires it out and causes it to fall asleep,
but the anger resonating in its dreams causes it
to wake upâ€which infuriates it all over again."
57,Primeape,[fighting],10.00,320.00,"[defiant, anger-point, vital-spirit]",[ground],Pig Monkey Pokemon,"Some researchers theorize that Primeape
remains angry even when inside a PokÃ© Ball."
58,Growlithe,[fire],7.00,190.00,"[justified, flash-fire, intimidate]",[ground],Puppy Pokemon,"It looks cute, but when you approach another
Trainer's Growlithe, it will bark at you and bite."
59,Arcanine,[fire],19.00,1550.00,"[justified, flash-fire, intimidate]",[ground],Legendary Pokemon,"The fire burning inside its body serves as the
energy to fuel it as it runs great distances.
It appears in many legends."
60,Poliwag,[water],6.00,124.00,"[swift-swim, damp, water-absorb]",[water1],Tadpole Pokemon,"It's still not very good at walking. Its Trainers
should train this Pokemon to walk every day."
61,Poliwhirl,[water],10.00,200.00,"[swift-swim, damp, water-absorb]",[water1],Tadpole Pokemon,"It marches over the land in search of bug
Pokemon to eat. Then it takes them underwater
so it can dine on them where it's safe."
62,Poliwrath,"[fighting, water]",13.00,540.00,"[swift-swim, damp, water-absorb]",[water1],Tadpole Pokemon,"Its percentage of body fat is nearly zero. Its
body is entirely muscle, which makes it heavy
and forces its swimming prowess to develop."
63,Abra,[psychic],9.00,195.00,"[magic-guard, inner-focus, synchronize]",[humanshape],Psi Pokemon,"It can teleport itself to safety while it's asleep,
but when it wakes, it doesn't know where it is,
so it panics."
64,Kadabra,[psychic],13.00,565.00,"[magic-guard, inner-focus, synchronize]",[humanshape],Psi Pokemon,"Kadabra's presence infests televisions and
monitors with creepy shadows that bring
bad luck."
65,Alakazam,[psychic],15.00,480.00,"[magic-guard, inner-focus, synchronize]",[humanshape],Psi Pokemon,"Its brain cells continue to increase in number
until its death. The older the Alakazam, the
larger its head."
66,Machop,[fighting],8.00,195.00,"[steadfast, no-guard, guts]",[humanshape],Superpower Pokemon,"With its superhuman strength, it's able to throw
a hundred people all at the same time. Its
strength comes from lifting Graveler every day."
67,Machoke,[fighting],15.00,705.00,"[steadfast, no-guard, guts]",[humanshape],Superpower Pokemon,"It willingly assists with hard labor because it
knows the work is good training for its muscles."
68,Machamp,[fighting],16.00,1300.00,"[steadfast, no-guard, guts]",[humanshape],Superpower Pokemon,"It can lift heavy loads with the greatest of ease.
It can even heft dump trucks. But its clumsy
fingers prevent it from doing any precision work."
69,Bellsprout,"[poison, grass]",7.00,40.00,"[gluttony, chlorophyll]",[plant],Flower Pokemon,"Bellsprout's thin and flexible body lets it bend and sway
to avoid any attack, however strong it may be. From its mouth,
this Pokemon spits a corrosive fluid that melts even iron."
70,Weepinbell,"[poison, grass]",10.00,64.00,"[gluttony, chlorophyll]",[plant],Flycatcher Pokemon,"Weepinbell has a large hook on its rear end. At night, the
Pokemon hooks on to a tree branch and goes to sleep.
If it moves around in its sleep, it may wake up to find itself
on the ground."
71,Victreebel,"[poison, grass]",17.00,155.00,"[gluttony, chlorophyll]",[plant],Flycatcher Pokemon,"Victreebel has a long vine that extends from its head.
This vine is waved and flicked about as if it were an animal
to attract prey. When an unsuspecting prey draws near,
this Pokemon swallows it whole."
72,Tentacool,"[poison, water]",9.00,455.00,"[rain-dish, liquid-ooze, clear-body]",[water3],Jellyfish Pokemon,"It drifts in shallow seas, such as the areas near
beaches. If you get bitten or stabbed by its
toxic tentacles, rush to the hospital."
73,Tentacruel,"[poison, water]",16.00,550.00,"[rain-dish, liquid-ooze, clear-body]",[water3],Jellyfish Pokemon,"Although these Pokemon are rare, when a large
outbreak of them occurs, all fish Pokemon
disappear from the surrounding sea."
74,Geodude,"[ground, rock]",4.00,200.00,"[sand-veil, sturdy, rock-head]",[mineral],Rock Pokemon,"There are plenty of them to be found along any
road. A scholar with too much free time once
counted a hundred of them along a single route."
75,Graveler,"[ground, rock]",10.00,1050.00,"[sand-veil, sturdy, rock-head]",[mineral],Rock Pokemon,"This slow-footed Pokemon moves by curling up
and rolling instead of walking. With enough
momentum, its speed can exceed 60 mph."
76,Golem,"[ground, rock]",14.00,3000.00,"[sand-veil, sturdy, rock-head]",[mineral],Megaton Pokemon,"Once a year, this Pokemon molts, and its shed
shell returns to the soil. This process creates
enriched soil, so farmers collect the shells."
77,Ponyta,[fire],10.00,300.00,"[flame-body, flash-fire, run-away]",[ground],Fire Horse Pokemon,"Ponyta is very weak at birth. It can barely stand up.
This Pokemon becomes stronger by stumbling and
falling to keep up with its parent."
78,Rapidash,[fire],17.00,950.00,"[flame-body, flash-fire, run-away]",[ground],Fire Horse Pokemon,"Rapidash usually can be seen casually cantering in the fields
and plains. However, when this Pokemon turns serious, its
fiery manes flare and blaze as it gallops its way up to 150 mph."
79,Slowpoke,"[psychic, water]",12.00,360.00,"[regenerator, own-tempo, oblivious]","[water1, monster]",Dopey Pokemon,"Alolan home cooking involves drying Slowpoke
tails and then simmering them into a salty stew."
80,Slowbro,"[psychic, water]",16.00,785.00,"[regenerator, own-tempo, oblivious]","[water1, monster]",Hermit Crab Pokemon,"Whenever Shellder bites down hard on its tail,
it gives Slowbro a flash of inspiration...which it
forgets a moment later."
81,Magnemite,"[steel, electric]",3.00,60.00,"[analytic, sturdy, magnet-pull]",[mineral],Magnet Pokemon,"It sends out electromagnetic waves, which let it
float through the air. Touching it while it's eating
electricity will give you a full-body shock."
82,Magneton,"[steel, electric]",10.00,600.00,"[analytic, sturdy, magnet-pull]",[mineral],Magnet Pokemon,"It has about three times the electrical power of
Magnemite. For some reason, outbreaks of this
Pokemon happen when lots of sunspots appear."
83,Farfetch'd,"[flying, normal]",8.00,150.00,"[defiant, inner-focus, keen-eye]","[ground, flying]",Wild Duck Pokemon,"Farfetch'd is always seen with a stalk from a plant of some
sort. Apparently, there are good stalks and bad stalks. This
Pokemon has been known to fight with others over stalks."
84,Doduo,"[flying, normal]",14.00,392.00,"[tangled-feet, early-bird, run-away]",[flying],Twin Bird Pokemon,"Doduo's two heads contain completely identical brains. A
scientific study reported that on rare occasions, there will be
examples of this Pokemon possessing different sets of brains."
85,Dodrio,"[flying, normal]",18.00,852.00,"[tangled-feet, early-bird, run-away]",[flying],Triple Bird Pokemon,"Apparently, the heads aren't the only parts of the body that
Dodrio has three of. It has three sets of hearts and lungs as
well, so it is capable of running long distances without rest."
86,Seel,[water],11.00,900.00,"[ice-body, hydration, thick-fat]","[ground, water1]",Sea Lion Pokemon,"Seel hunts for prey in the frigid sea underneath sheets of ice.
When it needs to breathe, it punches a hole through the ice
with the sharply protruding section of its head."
87,Dewgong,"[ice, water]",17.00,1200.00,"[ice-body, hydration, thick-fat]","[ground, water1]",Sea Lion Pokemon,"Dewgong loves to snooze on bitterly cold ice. The sight of
this Pokemon sleeping on a glacier was mistakenly thought
to be a mermaid by a mariner long ago."
88,Grimer,[poison],9.00,300.00,"[poison-touch, sticky-hold, stench]",[indeterminate],Sludge Pokemon,"It was born from sludge transformed by
exposure to X-rays from the moon. When its
internal load of germs decreases, it dies."
89,Muk,[poison],12.00,300.00,"[poison-touch, sticky-hold, stench]",[indeterminate],Sludge Pokemon,"After recent environmental improvements, this
Pokemon is now hardly seen at all. People
speculate that it may go extinct at some point."
90,Shellder,[water],3.00,40.00,"[overcoat, skill-link, shell-armor]",[water3],Bivalve Pokemon,"This Pokemon's tongue is always hanging out.
It uses its tongue with great dexterity to dig up
sand from the seabed in its search for food."
91,Cloyster,"[ice, water]",15.00,1325.00,"[overcoat, skill-link, shell-armor]",[water3],Bivalve Pokemon,"Excavation of the tombs of ancient hunting
tribes has turned up many spears tipped with
spikes that had fallen off this Pokemon's shell."
92,Gastly,"[poison, ghost]",13.00,1.00,[levitate],[indeterminate],Gas Pokemon,"Although Gastly is barely visible, when it's near,
a faint sweet smell lingers."
93,Haunter,"[poison, ghost]",16.00,1.00,[levitate],[indeterminate],Gas Pokemon,"It fears the light and revels in the dark. It may
be on the verge of extinction in cities that stay
brightly lit at night."
94,Gengar,"[poison, ghost]",15.00,405.00,[cursed-body],[indeterminate],Shadow Pokemon,"It apparently wishes for a traveling companion.
Since it was once human itself, it tries to create
one by taking the lives of other humans."
95,Onix,"[ground, rock]",88.00,2100.00,"[weak-armor, sturdy, rock-head]",[mineral],Rock Snake Pokemon,"Onix has a magnet in its brain. It acts as a compass so that
this Pokemon does not lose direction while it is tunneling.
As it grows older, its body becomes increasingly rounder
and smoother."
96,Drowzee,[psychic],10.00,324.00,"[inner-focus, forewarn, insomnia]",[humanshape],Hypnosis Pokemon,"It finds really fun dreams tasty. When it makes
friends with people, it may show them the most
delicious dreams it's ever eaten."
97,Hypno,[psychic],16.00,756.00,"[inner-focus, forewarn, insomnia]",[humanshape],Hypnosis Pokemon,"As a matter of course, it makes anyone it meets
fall asleep and has a taste of their dreams.
Anyone having a good dream, it carries off."
98,Krabby,[water],4.00,65.00,"[sheer-force, shell-armor, hyper-cutter]",[water3],River Crab Pokemon,"Krabby live on beaches, burrowed inside holes dug into
the sand. On sandy beaches with little in the way of food,
these Pokemon can be seen squabbling with each other
over territory."
99,Kingler,[water],13.00,600.00,"[sheer-force, shell-armor, hyper-cutter]",[water3],Pincer Pokemon,"Kingler has an enormous, oversized claw. It waves this huge
claw in the air to communicate with others. However, because
the claw is so heavy, the Pokemon quickly tires."
100,Voltorb,[electric],5.00,104.00,"[aftermath, static, soundproof]",[mineral],Ball Pokemon,"Voltorb is extremely sensitiveâ€it explodes at the slightest
of shocks. It is rumored that it was first created when a
PokÃ© Ball was exposed to a powerful pulse of energy."
101,Electrode,[electric],12.00,666.00,"[aftermath, static, soundproof]",[mineral],Ball Pokemon,"One of Electrode's characteristics is its attraction to electricity.
It is a problematical Pokemon that congregates mostly at
electrical power plants to feed on electricity that has just
been generated."
102,Exeggcute,"[psychic, grass]",4.00,25.00,"[harvest, chlorophyll]",[plant],Egg Pokemon,"Six of them together form a full-fledged
Pokemon. It's often hunted by Crabrawler,
but uses psychokinesis to drive it off."
103,Exeggutor,"[psychic, grass]",20.00,1200.00,"[harvest, chlorophyll]",[plant],Coconut Pokemon,"When the time comes, one of its three heads
falls off. Before long, the fallen head grows into
an Exeggcute."
104,Cubone,[ground],4.00,65.00,"[battle-armor, lightning-rod, rock-head]",[monster],Lonely Pokemon,"The skull it wears on its head is that of its dead
mother. According to some, it will evolve when
it comes to terms with the pain of her death."
105,Marowak,[ground],10.00,450.00,"[battle-armor, lightning-rod, rock-head]",[monster],Bone Keeper Pokemon,"This Pokemon is out for vengeance on its natural
enemy, Mandibuzz. It throws bones like
boomerangs to try to take it down."
106,Hitmonlee,[fighting],15.00,498.00,"[unburden, reckless, limber]",[humanshape],Kicking Pokemon,"Hitmonlee's legs freely contract and stretch. Using these
springlike legs, it bowls over foes with devastating kicks.
After battle, it rubs down its legs and loosens the muscles
to overcome fatigue."
107,Hitmonchan,[fighting],14.00,502.00,"[inner-focus, iron-fist, keen-eye]",[humanshape],Punching Pokemon,"Hitmonchan is said to possess the spirit of a boxer who had
been working toward a world championship. This Pokemon
has an indomitable spirit and will never give up in the face
of adversity."
108,Lickitung,[normal],12.00,655.00,"[cloud-nine, oblivious, own-tempo]",[monster],Licking Pokemon,"Whenever Lickitung comes across something new, it will
unfailingly give it a lick. It does so because it memorizes things
by texture and by taste. It is somewhat put off by sour things."
109,Koffing,[poison],6.00,10.00,[levitate],[indeterminate],Poison Gas Pokemon,"Koffing embodies toxic substances. It mixes the toxins with raw
garbage to set off a chemical reaction that results in a terribly
powerful poison gas. The higher the temperature, the more gas
is concocted by this Pokemon."
110,Weezing,[poison],12.00,95.00,[levitate],[indeterminate],Poison Gas Pokemon,"Weezing alternately shrinks and inflates its twin bodies to mix
together toxic gases inside. The more the gases are mixed,
the more powerful the toxins become. The Pokemon also
becomes more putrid."
111,Rhyhorn,"[rock, ground]",10.00,1150.00,"[reckless, rock-head, lightning-rod]","[ground, monster]",Spikes Pokemon,"Rhyhorn's brain is very small. It is so dense, while on a run
it forgets why it started running in the first place. It apparently
remembers sometimes if it demolishes something."
112,Rhydon,"[rock, ground]",19.00,1200.00,"[reckless, rock-head, lightning-rod]","[ground, monster]",Drill Pokemon,"Rhydon has a horn that serves as a drill. It is used for
destroying rocks and boulders. This Pokemon occasionally
rams into streams of magma, but the armor-like hide prevents
it from feeling the heat."
113,Chansey,[normal],11.00,346.00,"[healer, serene-grace, natural-cure]",[fairy],Egg Pokemon,"Not only are these Pokemon fast runners,
they're also few in number, so anyone who finds
one must be lucky indeed."
114,Tangela,[grass],10.00,350.00,"[regenerator, leaf-guard, chlorophyll]",[plant],Vine Pokemon,"Tangela's vines snap off easily if they are grabbed. This
happens without pain, allowing it to make a quick getaway.
The lost vines are replaced by newly grown vines the very
next day."
115,Kangaskhan,[normal],22.00,800.00,"[inner-focus, scrappy, early-bird]",[monster],Parent Pokemon,"The child in its pouch leaves home after roughly
three years. That is the only time the mother is
heard to cry wildly."
116,Horsea,[water],4.00,80.00,"[damp, sniper, swift-swim]","[dragon, water1]",Dragon Pokemon,"If Horsea senses danger, it will reflexively spray a dense
black ink from its mouth and try to escape. This Pokemon
swims by cleverly flapping the fin on its back."
117,Seadra,[water],12.00,250.00,"[damp, sniper, poison-point]","[dragon, water1]",Dragon Pokemon,"Seadra generates whirlpools by spinning its body.
The whirlpools are strong enough to swallow even
fishing boats. This Pokemon weakens prey with
these currents, then swallows it whole."
118,Goldeen,[water],6.00,150.00,"[lightning-rod, water-veil, swift-swim]",[water2],Goldfish Pokemon,"Spellbound by the length of its horn and the
beauty of its fins, many strange Trainers raise
Goldeen and nothing but Goldeen."
119,Seaking,[water],13.00,390.00,"[lightning-rod, water-veil, swift-swim]",[water2],Goldfish Pokemon,"Trainers who are crazy for Seaking are divided
into horn enthusiasts and fin enthusiasts.
The two groups do not get along well."
120,Staryu,[water],8.00,345.00,"[analytic, natural-cure, illuminate]",[water3],Star Shape Pokemon,"This Pokemon gets nibbled on by Lumineon and
others. Thanks to its red core, it regenerates
fast, so it's unconcerned by their snack attacks."
121,Starmie,"[psychic, water]",11.00,800.00,"[analytic, natural-cure, illuminate]",[water3],Mysterious Pokemon,"Its unusual body shape, reminiscent of abstract
art, led local people to spread rumors that this
Pokemon may be an invader from outer space."
122,Mr. Mime,"[fairy, psychic]",13.00,545.00,"[technician, filter, soundproof]",[humanshape],Barrier Pokemon,"Mr. Mime is a master of pantomime. Its gestures and motions
convince watchers that something unseeable actually exists.
Once the watchers are convinced, the unseeable thing exists
as if it were real."
123,Scyther,"[flying, bug]",15.00,560.00,"[steadfast, technician, swarm]",[bug],Mantis Pokemon,"While young, they live together deep in the
mountains, training themselves in how to fight
with their scythes and move at high speeds."
124,Jynx,"[psychic, ice]",14.00,406.00,"[dry-skin, forewarn, oblivious]",[humanshape],Human Shape Pokemon,"Jynx walks rhythmically, swaying and shaking its hips
as if it were dancing. Its motions are so bouncingly alluring,
people seeing it are compelled to shake their hips without
giving any thought to what they are doing."
125,Electabuzz,[electric],11.00,300.00,"[vital-spirit, static]",[humanshape],Electric Pokemon,"Electricity leaks from it in amounts far greater
than the amount of electricity it eats."
126,Magmar,[fire],13.00,445.00,"[vital-spirit, flame-body]",[humanshape],Spitfire Pokemon,"When angered, it spouts brilliant fire from all
over its body. It doesn't calm down until its
opponent has burned to ash."
127,Pinsir,[bug],15.00,550.00,"[moxie, mold-breaker, hyper-cutter]",[bug],Stag Beetle Pokemon,"One solid blow from its horns is enough to split
apart a large tree. Its greatest rival in Alola
is Vikavolt."
