id,name,height,weight,genus,description
83,Farfetchâ€™d,8.00,150.00,Wild Duck Pokemon,"Farfetchâ€™d is always seen with a stalk from a plant of some
sort. Apparently, there are good stalks and bad stalks. This
Pokemon has been known to fight with others over stalks."
84,Doduo,14.00,392.00,Twin Bird Pokemon,"Doduoâ€™s two heads contain completely identical brains. A
scientific study reported that on rare occasions, there will be
examples of this Pokemon possessing different sets of brains."
85,Dodrio,18.00,852.00,Triple Bird Pokemon,"Apparently, the heads arenâ€™t the only parts of the body that
Dodrio has three of. It has three sets of hearts and lungs as
well, so it is capable of running long distances without rest."
86,Seel,11.00,900.00,Sea Lion Pokemon,"Seel hunts for prey in the frigid sea underneath sheets of ice.
When it needs to breathe, it punches a hole through the ice
with the sharply protruding section of its head."
87,Dewgong,17.00,1200.00,Sea Lion Pokemon,"Dewgong loves to snooze on bitterly cold ice. The sight of
this Pokemon sleeping on a glacier was mistakenly thought
to be a mermaid by a mariner long ago."
88,Grimer,9.00,300.00,Sludge Pokemon,"It was born from sludge transformed by
exposure to X-rays from the moon. When its
internal load of germs decreases, it dies."
89,Muk,12.00,300.00,Sludge Pokemon,"After recent environmental improvements, this
Pokemon is now hardly seen at all. People
speculate that it may go extinct at some point."
90,Shellder,3.00,40.00,Bivalve Pokemon,"This Pokemonâ€™s tongue is always hanging out.
It uses its tongue with great dexterity to dig up
sand from the seabed in its search for food."
91,Cloyster,15.00,1325.00,Bivalve Pokemon,"Excavation of the tombs of ancient hunting
tribes has turned up many spears tipped with
spikes that had fallen off this Pokemonâ€™s shell."
92,Gastly,13.00,1.00,Gas Pokemon,"Although Gastly is barely visible, when itâ€™s near,
a faint sweet smell lingers."
93,Haunter,16.00,1.00,Gas Pokemon,"It fears the light and revels in the dark. It may
be on the verge of extinction in cities that stay
brightly lit at night."
94,Gengar,15.00,405.00,Shadow Pokemon,"It apparently wishes for a traveling companion.
Since it was once human itself, it tries to create
one by taking the lives of other humans."
95,Onix,88.00,2100.00,Rock Snake Pokemon,"Onix has a magnet in its brain. It acts as a compass so that
this Pokemon does not lose direction while it is tunneling.
As it grows older, its body becomes increasingly rounder
and smoother."
96,Drowzee,10.00,324.00,Hypnosis Pokemon,"It finds really fun dreams tasty. When it makes
friends with people, it may show them the most
delicious dreams itâ€™s ever eaten."
97,Hypno,16.00,756.00,Hypnosis Pokemon,"As a matter of course, it makes anyone it meets
fall asleep and has a taste of their dreams.
Anyone having a good dream, it carries off."
98,Krabby,4.00,65.00,River Crab Pokemon,"Krabby live on beaches, burrowed inside holes dug into
the sand. On sandy beaches with little in the way of food,
these Pokemon can be seen squabbling with each other
over territory."
99,Kingler,13.00,600.00,Pincer Pokemon,"Kingler has an enormous, oversized claw. It waves this huge
claw in the air to communicate with others. However, because
the claw is so heavy, the Pokemon quickly tires."
100,Voltorb,5.00,104.00,Ball Pokemon,"Voltorb is extremely sensitiveâ€”it explodes at the slightest
of shocks. It is rumored that it was first created when a
PokÃ© Ball was exposed to a powerful pulse of energy."
101,Electrode,12.00,666.00,Ball Pokemon,"One of Electrodeâ€™s characteristics is its attraction to electricity.
It is a problematical Pokemon that congregates mostly at
electrical power plants to feed on electricity that has just
been generated."
102,Exeggcute,4.00,25.00,Egg Pokemon,"Six of them together form a full-fledged
Pokemon. Itâ€™s often hunted by Crabrawler,
but uses psychokinesis to drive it off."
103,Exeggutor,20.00,1200.00,Coconut Pokemon,"When the time comes, one of its three heads
falls off. Before long, the fallen head grows into
an Exeggcute."
104,Cubone,4.00,65.00,Lonely Pokemon,"The skull it wears on its head is that of its dead
mother. According to some, it will evolve when
it comes to terms with the pain of her death."
105,Marowak,10.00,450.00,Bone Keeper Pokemon,"This Pokemon is out for vengeance on its natural
enemy, Mandibuzz. It throws bones like
boomerangs to try to take it down."
106,Hitmonlee,15.00,498.00,Kicking Pokemon,"Hitmonleeâ€™s legs freely contract and stretch. Using these
springlike legs, it bowls over foes with devastating kicks.
After battle, it rubs down its legs and loosens the muscles
to overcome fatigue."
107,Hitmonchan,14.00,502.00,Punching Pokemon,"Hitmonchan is said to possess the spirit of a boxer who had
been working toward a world championship. This Pokemon
has an indomitable spirit and will never give up in the face
of adversity."
108,Lickitung,12.00,655.00,Licking Pokemon,"Whenever Lickitung comes across something new, it will
unfailingly give it a lick. It does so because it memorizes things
by texture and by taste. It is somewhat put off by sour things."
109,Koffing,6.00,10.00,Poison Gas Pokemon,"Koffing embodies toxic substances. It mixes the toxins with raw
garbage to set off a chemical reaction that results in a terribly
powerful poison gas. The higher the temperature, the more gas
is concocted by this Pokemon."
110,Weezing,12.00,95.00,Poison Gas Pokemon,"Weezing alternately shrinks and inflates its twin bodies to mix
together toxic gases inside. The more the gases are mixed,
the more powerful the toxins become. The Pokemon also
becomes more putrid."
111,Rhyhorn,10.00,1150.00,Spikes Pokemon,"Rhyhornâ€™s brain is very small. It is so dense, while on a run
it forgets why it started running in the first place. It apparently
remembers sometimes if it demolishes something."
112,Rhydon,19.00,1200.00,Drill Pokemon,"Rhydon has a horn that serves as a drill. It is used for
destroying rocks and boulders. This Pokemon occasionally
rams into streams of magma, but the armor-like hide prevents
it from feeling the heat."
113,Chansey,11.00,346.00,Egg Pokemon,"Not only are these Pokemon fast runners,
theyâ€™re also few in number, so anyone who finds
one must be lucky indeed."
114,Tangela,10.00,350.00,Vine Pokemon,"Tangelaâ€™s vines snap off easily if they are grabbed. This
happens without pain, allowing it to make a quick getaway.
The lost vines are replaced by newly grown vines the very
next day."
115,Kangaskhan,22.00,800.00,Parent Pokemon,"The child in its pouch leaves home after roughly
three years. That is the only time the mother is
heard to cry wildly."
116,Horsea,4.00,80.00,Dragon Pokemon,"If Horsea senses danger, it will reflexively spray a dense
black ink from its mouth and try to escape. This Pokemon
swims by cleverly flapping the fin on its back."
117,Seadra,12.00,250.00,Dragon Pokemon,"Seadra generates whirlpools by spinning its body.
The whirlpools are strong enough to swallow even
fishing boats. This Pokemon weakens prey with
these currents, then swallows it whole."
118,Goldeen,6.00,150.00,Goldfish Pokemon,"Spellbound by the length of its horn and the
beauty of its fins, many strange Trainers raise
Goldeen and nothing but Goldeen."
119,Seaking,13.00,390.00,Goldfish Pokemon,"Trainers who are crazy for Seaking are divided
into horn enthusiasts and fin enthusiasts.
The two groups do not get along well."
120,Staryu,8.00,345.00,Star Shape Pokemon,"This Pokemon gets nibbled on by Lumineon and
others. Thanks to its red core, it regenerates
fast, so itâ€™s unconcerned by their snack attacks."
121,Starmie,11.00,800.00,Mysterious Pokemon,"Its unusual body shape, reminiscent of abstract
art, led local people to spread rumors that this
Pokemon may be an invader from outer space."
122,Mr. Mime,13.00,545.00,Barrier Pokemon,"Mr. Mime is a master of pantomime. Its gestures and motions
convince watchers that something unseeable actually exists.
Once the watchers are convinced, the unseeable thing exists
as if it were real."
123,Scyther,15.00,560.00,Mantis Pokemon,"While young, they live together deep in the
mountains, training themselves in how to fight
with their scythes and move at high speeds."
124,Jynx,14.00,406.00,Human Shape Pokemon,"Jynx walks rhythmically, swaying and shaking its hips
as if it were dancing. Its motions are so bouncingly alluring,
people seeing it are compelled to shake their hips without
giving any thought to what they are doing."
125,Electabuzz,11.00,300.00,Electric Pokemon,"Electricity leaks from it in amounts far greater
than the amount of electricity it eats."
126,Magmar,13.00,445.00,Spitfire Pokemon,"When angered, it spouts brilliant fire from all
over its body. It doesnâ€™t calm down until its
opponent has burned to ash."
127,Pinsir,15.00,550.00,Stag Beetle Pokemon,"One solid blow from its horns is enough to split
apart a large tree. Its greatest rival in Alola
is Vikavolt."
128,Tauros,14.00,884.00,Wild Bull Pokemon,"Although itâ€™s known to be a fierce Pokemon,
Tauros in the Alola region are said to possess
a measure of calmness."
129,Magikarp,9.00,100.00,Fish Pokemon,"Its reckless leaps make it easy pickings for
predators. On the bright side, many Pokemon
enjoy longer life spans, thanks to Magikarp."
130,Gyarados,65.00,2350.00,Atrocious Pokemon,"There are people who swear that any place
Gyarados appears is fated for destruction."
131,Lapras,25.00,2200.00,Transport Pokemon,"These Pokemon were once near extinction due
to poaching. Following protective regulations,
there is now an overabundance of them."
132,Ditto,3.00,40.00,Transform Pokemon,"With its astonishing capacity for
metamorphosis, it can get along with anything.
It does not get along well with its fellow Ditto."
133,Eevee,3.00,65.00,Evolution Pokemon,"Current studies show it can evolve into an
incredible eight different species of Pokemon."
134,Vaporeon,10.00,290.00,Bubble Jet Pokemon,"Blending in with the water and erasing all signs
of its presence, it patiently waits for its prey,
fish Pokemon."
135,Jolteon,8.00,245.00,Lightning Pokemon,"When its fur stands on end, thatâ€™s a sign itâ€™s
about to give off a jolt of electricity. Take care,
as sometimes lightning strikes next to it, too."
136,Flareon,9.00,250.00,Flame Pokemon,"Its average body temperature is between 1,300
and 1,500 degrees Fahrenheit. In its internal
flame sac, temperatures reach 3,000 degrees."
137,Porygon,8.00,365.00,Virtual Pokemon,"It can convert its body into digital data,
which enables it to enter cyberspace."
138,Omanyte,4.00,75.00,Spiral Pokemon,"Omanyte is one of the ancient and long-since-extinct Pokemon
that have been regenerated from fossils by people. If attacked
by an enemy, it withdraws itself inside its hard shell."
139,Omastar,10.00,350.00,Spiral Pokemon,"Omastar uses its tentacles to capture its prey. It is
believed to have become extinct because its shell grew too
large and heavy, causing its movements to become too slow
and ponderous."
140,Kabuto,5.00,115.00,Shellfish Pokemon,"Kabuto is a Pokemon that has been regenerated from a fossil.
However, in extremely rare cases, living examples have
been discovered. The Pokemon has not changed at all for
300 million years."
141,Kabutops,13.00,405.00,Shellfish Pokemon,"Kabutops swam underwater to hunt for its prey in ancient
times. The Pokemon was apparently evolving from being a
water dweller to living on land as evident from the beginnings
of change in its gills and legs."
142,Aerodactyl,18.00,590.00,Fossil Pokemon,"In ancient times, it ruled the skies. A widely
accepted theory is that it went extinct due to
a large meteor impact."
143,Snorlax,21.00,4600.00,Sleeping Pokemon,"It eats nearly 900 pounds of food every day.
It starts nodding off while eatingâ€”and continues
to eat even while itâ€™s asleep."
144,Articuno,17.00,554.00,Freeze Pokemon,"Articuno is a legendary bird Pokemon that can control ice.
The flapping of its wings chills the air. As a result, it is said
that when this Pokemon flies, snow will fall."
145,Zapdos,16.00,526.00,Electric Pokemon,"Zapdos is a legendary bird Pokemon that has the ability
to control electricity. It usually lives in thunderclouds.
The Pokemon gains power if it is stricken by lightning bolts."
146,Moltres,20.00,600.00,Flame Pokemon,"Moltres is a legendary bird Pokemon that has the ability
to control fire. If this Pokemon is injured, it is said to dip its
body in the molten magma of a volcano to burn and heal itself."
147,Dratini,18.00,33.00,Dragon Pokemon,"After a 10-hour struggle, a fisherman was able
to pull one up and confirm its existence."
148,Dragonair,40.00,165.00,Dragon Pokemon,"From time immemorial, it has been venerated by
agricultural peoples as an entity able to control
the weather."
149,Dragonite,22.00,2100.00,Dragon Pokemon,"Incur the wrath of this normally calm Pokemon
at your peril, because it will smash everything
to smithereens before itâ€™s satisfied."
150,Mewtwo,20.00,1220.00,Genetic Pokemon,"Mewtwo is a Pokemon that was created by genetic
manipulation. However, even though the scientific power
of humans created this Pokemonâ€™s body, they failed to
endow Mewtwo with a compassionate heart."
151,Mew,4.00,40.00,New Species Pokemon,"Mew is said to possess the genetic composition of all
Pokemon. It is capable of making itself invisible at will,
so it entirely avoids notice even if it approaches people."
152,Chikorita,9.00,64.00,Leaf Pokemon,"In battle, Chikorita waves its leaf around to keep the foe at
bay. However, a sweet fragrance also wafts from the leaf,
becalming the battling Pokemon and creating a cozy,
friendly atmosphere all around."
153,Bayleef,12.00,158.00,Leaf Pokemon,"Bayleefâ€™s neck is ringed by curled-up leaves. Inside each
tubular leaf is a small shoot of a tree. The fragrance of this
shoot makes people peppy."
154,Meganium,18.00,1005.00,Herb Pokemon,"The fragrance of Meganiumâ€™s flower soothes and calms
emotions. In battle, this Pokemon gives off more of its
becalming scent to blunt the foeâ€™s fighting spirit."
155,Cyndaquil,5.00,79.00,Fire Mouse Pokemon,"Cyndaquil protects itself by flaring up the flames on its back.
The flames are vigorous if the Pokemon is angry. However, if it
is tired, the flames splutter fitfully with incomplete combustion."
156,Quilava,9.00,190.00,Volcano Pokemon,"Quilava keeps its foes at bay with the intensity of its flames
and gusts of superheated air. This Pokemon applies its
outstanding nimbleness to dodge attacks even while scorching
the foe with flames."
157,Typhlosion,17.00,795.00,Volcano Pokemon,"Typhlosion obscures itself behind a shimmering heat haze that
it creates using its intensely hot flames. This Pokemon creates
blazing explosive blasts that burn everything to cinders."
158,Totodile,6.00,95.00,Big Jaw Pokemon,"Despite the smallness of its body, Totodileâ€™s jaws are very
powerful. While the Pokemon may think it is just playfully
nipping, its bite has enough power to cause serious injury."
159,Croconaw,11.00,250.00,Big Jaw Pokemon,"Once Croconaw has clamped its jaws on its foe, it will
absolutely not let go. Because the tips of its fangs are
forked back like barbed fishhooks, they become impossible
to remove when they have sunk in."
160,Feraligatr,23.00,888.00,Big Jaw Pokemon,"Feraligatr intimidates its foes by opening its huge mouth.
In battle, it will kick the ground hard with its thick and powerful
hind legs to charge at the foe at an incredible speed."
161,Sentret,8.00,60.00,Scout Pokemon,"When Sentret sleeps, it does so while another stands guard.
The sentry wakes the others at the first sign of danger. When
this Pokemon becomes separated from its pack, it becomes
incapable of sleep due to fear."
162,Furret,18.00,325.00,Long Body Pokemon,"Furret has a very slim build. When under attack, it can slickly
squirm through narrow spaces and get away. In spite of its
short limbs, this Pokemon is very nimble and fleet."
163,Hoothoot,7.00,212.00,Owl Pokemon,"Hoothoot has an internal organ that senses and tracks the
earthâ€™s rotation. Using this special organ, this Pokemon
begins hooting at precisely the same time every day."
164,Noctowl,16.00,408.00,Owl Pokemon,"Noctowl never fails at catching prey in darkness. This Pokemon
owes its success to its superior vision that allows it to see in
minimal light, and to its soft, supple wings that make no sound
in flight."
165,Ledyba,10.00,108.00,Five Star Pokemon,"They communicate with one another using bodily
fluids that give off odors. When theyâ€™re angry,
their odor smells sour."
166,Ledian,14.00,356.00,Five Star Pokemon,"In battle, it throws punches with all four arms.
The power of each individual blow is piddly,
so it aims to win by quantity rather than quality."
167,Spinarak,5.00,85.00,String Spit Pokemon,"Some fishermen weave its sturdy thread into
nets to catch fish Pokemon."
168,Ariados,11.00,335.00,Long Leg Pokemon,"It spins thread from both its rear and its mouth.
Then it wraps its prey up in thread and sips
their bodily fluids at its leisure."
